City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
426,fort mcmurray,56.7268,-111.381,12.73,54,100,2.57,CA,1693971623
427,muromtsevo,56.3724,75.2418,9.1,97,100,3.82,RU,1693971623
428,fallon,39.4735,-118.7774,21.62,49,20,3.09,US,1693971233
429,ciudad lazaro cardenas,17.9583,-102.2,26.43,86,100,2.4,MX,1693971623
430,arambol,15.6868,73.7045,27.9,75,80,3.06,IN,1693971624
431,sogndal,61.2283,7.1003,9.21,100,75,1.54,NO,1693971624
432,tyul'gan,52.3405,56.166,16.79,55,42,0.33,RU,1693971624
433,bol,13.4586,14.7147,26.66,77,37,5.71,TD,1693971625
434,kapa'a,22.0752,-159.319,28.99,78,20,4.12,US,1693971625
435,kourou,5.1552,-52.6478,23.03,85,7,3.0,GF,1693971625
436,ponta delgada,37.7333,-25.6667,20.4,83,75,6.69,PT,1693971626
437,pangody,65.85,74.4859,10.82,64,78,2.35,RU,1693971626
438,fort bragg,35.139,-79.006,27.17,85,0,0.0,US,1693971476
439,yanchep,-31.55,115.6833,17.75,47,40,8.18,AU,1693971626
440,morinville,53.8001,-113.652,10.77,95,100,0.0,CA,1693971627
441,tura,25.5198,90.2201,31.18,68,97,1.08,IN,1693971627
442,selkirk,50.1436,-96.8845,14.04,77,39,2.24,CA,1693971435
443,wanning,18.8003,110.3967,31.23,69,100,2.87,CN,1693971627
444,florence,43.7667,11.25,21.82,53,0,2.57,IT,1693971366
445,erenhot,43.6475,111.9767,29.82,19,38,5.58,CN,1693971628
446,dunedin,-45.8742,170.5036,18.37,63,86,0.45,NZ,1693971628
447,sale,34.0389,-6.8166,19.86,100,40,0.0,MA,1693971629
448,ghanzi,-21.5667,21.7833,11.88,34,4,4.28,BW,1693971629
449,san juan de miraflores,-12.1629,-76.9635,19.54,82,98,3.55,PE,1693971629
450,korgun,40.7348,33.5184,17.84,84,65,2.28,TR,1693971629
451,tocopilla,-22.092,-70.1979,17.63,75,11,1.05,CL,1693971012
452,sao raimundo nonato,-9.0153,-42.6994,25.06,46,3,3.07,BR,1693971630
453,loen,7.7601,168.2307,28.72,73,94,4.55,MH,1693971630
454,viedma,-40.8135,-62.9967,7.5,74,100,8.2,AR,1693971630
455,spitak,40.8322,44.2673,8.8,45,0,1.52,AM,1693971631
456,maragogi,-9.0122,-35.2225,23.48,83,3,3.79,BR,1693971631
457,lazaro cardenas,17.9583,-102.2,26.43,86,100,2.4,MX,1693971632
458,mazamari,-11.3258,-74.5308,20.52,98,53,0.49,PE,1693971632
459,la rinconada,37.4873,-5.9826,20.59,87,0,2.06,ES,1693971632
460,dolores,-36.3132,-57.6792,3.7,86,67,3.2,AR,1693971632
461,hinthada,17.6333,95.4667,28.64,77,100,3.95,MM,1693971632
462,junin de los andes,-39.9504,-71.0694,3.19,96,100,1.48,AR,1693971633
463,pavlogradka,54.2024,73.5592,10.88,73,68,5.7,RU,1693971633
464,melekeok village,7.4957,134.6367,31.31,70,75,2.06,PW,1693971633
465,howrah,22.5892,88.3103,30.0,84,75,3.09,IN,1693971634
466,tres coroas,-29.5169,-50.7778,11.93,98,15,0.81,BR,1693971634
467,kuala belait,4.5833,114.1833,30.09,65,17,1.86,BN,1693971634
468,almeirim,-1.5233,-52.5817,26.56,69,68,2.13,BR,1693971592
469,mount pearl,47.5166,-52.7813,15.19,97,20,1.03,CA,1693971635
470,lubango,-14.9172,13.4925,17.92,29,0,4.12,AO,1693971635
471,mbeya,-8.9,33.45,13.72,74,1,2.05,TZ,1693971635
472,tosontsengel,48.7567,98.2839,10.16,77,100,2.09,MN,1693971635
473,tabas,33.5959,56.9244,32.27,14,0,0.94,IR,1693971636
474,maine soroa,13.2114,12.0241,25.21,60,47,3.76,NE,1693971636
475,mitchell,43.7094,-98.0298,14.3,94,100,7.2,US,1693971407
476,usogorsk,63.4106,48.6872,14.33,75,100,5.65,RU,1693971637
477,selma,36.5708,-119.6121,28.32,55,0,0.0,US,1693971637
478,athni,16.7333,75.0667,25.18,74,84,5.22,IN,1693971637
479,prainha,-1.8,-53.48,25.76,66,17,2.1,BR,1693971637
480,holualoa,19.6228,-155.9522,25.91,79,40,5.66,US,1693971637
